username,registration_date,nb_of_comments,nb_of_cities,age,sex,country,top_cuisines,avg_overall_rating,avg_cuisine_rating,avg_service_rating,avg_quality_price_rating,avg_mood_rating,avg_michelin,avg_price_range_estimation
"24765London, England, ",2014,50,18,50-64,H,royaume-uni,"{'Vietnamienne': 1, 'Thai': 1, 'Chinoise': 1, 'Asiatique': 1}",3.0,4.0,3.0,3.0,0.0,0.0,2.0
GokhanOzkan,2010,62,75,35-49,H,suisse,"{'Vietnamienne': 1, 'Turque': 1, 'Thai': 1, 'Mediterraneenne': 1, 'Europeenne': 1, 'Chinoise': 1, 'Asiatique': 1}",4.07,4.36,4.07,4.07,0.0,0.0,2.71
bengivesreviews,2012,44,13,25-34,H,suisse,"{'Vietnamienne': 1, 'Thai': 1, 'Chinoise': 1, 'Asiatique': 1}",3.0,4.0,3.0,3.0,0.0,0.0,2.0
Christina_79Athens,2010,56,85,35-49,F,suisse,"{'Europeenne': 7, 'Italienne': 5, 'Pizza': 4, 'Mediterraneenne': 4, 'Saine': 2, 'Fusion': 2, 'Bar': 2, 'Asiatique': 2, 'Thai': 1, 'Suisse': 1, 'Soupes': 1, 'Japonaise': 1, 'Indienne': 1, 'Europe_centrale': 1, 'Chinoise': 1, 'Cafe': 1}",3.87,3.96,3.78,3.58,1.47,0.0,2.0
Thomas55588,2012,269,369,50-64,H,suisse,"{'Suisse': 3, 'Thai': 2, 'Europeenne': 2, 'Asiatique': 2, 'Europe_centrale': 1, 'Chinoise': 1, 'Allemande': 1}",3.91,3.44,3.24,3.33,0.0,0.0,1.85
teannalim,2019,2,2,None,None,None,"{'Thai': 1, 'Chinoise': 1, 'Asiatique': 1}",2.5,3.5,3.5,3.0,3.0,0.0,2.0
sayanbhattacharya,2014,55,33,35-49,H,inde,"{'Thai': 1, 'Chinoise': 1, 'Asiatique': 1}",2.5,3.5,3.5,3.0,3.0,0.0,2.0
gzauSan ,2007,936,430,None,None,None,"{'Thai': 1, 'Chinoise': 1, 'Asiatique': 1}",2.5,3.5,3.5,3.0,3.0,0.0,2.0
ruffrayn,2014,28,138,None,None,suisse,"{'Suisse': 1, 'Internationale': 1, 'Chinoise': 1, 'Asiatique': 1}",4.0,4.31,4.0,3.81,1.5,0.0,2.0
magyk85,2013,115,54,50-64,F,suisse,"{'Asiatique': 4, 'Thai': 3, 'Vietnamienne': 1, 'Tibetaine': 1, 'Sushi': 1, 'Pizza': 1, 'Mediterraneenne': 1, 'Italienne': 1, 'Fusion': 1, 'Europeenne': 1, 'Chinoise': 1}",4.32,3.45,3.18,3.18,0.48,0.0,1.77
andrebbe,2010,18,12,35-49,H,suisse,"{'Sushi': 1, 'Japonaise': 1, 'Asiatique': 1}",4.5,5.0,4.5,4.0,0.0,0.0,2.0
223henrikb,2009,74,56,25-34,H,suisse,"{'Europeenne': 5, 'Suisse': 2, 'Restauration_rapide': 2, 'Mediterraneenne': 2, 'Italienne': 2, 'Americaine': 2, 'Allemande': 2, 'Saine': 1, 'Portugaise': 1, 'Pizza': 1, 'Libanaise': 1, 'Europe_centrale': 1, 'Cafe': 1}",4.37,3.0,3.49,3.37,0.43,0.0,1.15
cactusdAlsace,2009,11,10,None,None,suisse,"{'Europeenne': 2, 'Turque': 1, 'Suisse': 1, 'Mediterraneenne': 1, 'Europe_centrale': 1, 'Chinoise': 1, 'Asiatique': 1, 'Allemande': 1}",4.19,4.19,4.19,4.19,1.23,0.0,2.38
Virget,2008,11,42,25-34,F,None,"{'Thai': 1, 'Mediterraneenne': 1, 'Malaisienne': 1, 'Italienne': 1, 'Chinoise': 1, 'Asiatique': 1}",4.25,4.25,4.5,4.0,4.0,0.0,2.0
Ilia K,2013,11,196,None,None,None,"{'Thai': 1, 'Mediterraneenne': 1, 'Italienne': 1, 'Chinoise': 1, 'Asiatique': 1}",4.5,4.5,4.25,4.25,2.0,0.0,1.5
lisa k,2015,51,12,None,None,None,"{'Asiatique': 2, 'Thai': 1, 'Japonaise': 1, 'Chinoise': 1}",3.47,3.62,3.0,3.34,1.97,0.0,1.81
Madlen7538,2018,5,5,None,None,suisse,"{'Sushi': 1, 'Pizza': 1, 'Mediterraneenne': 1, 'Italienne': 1, 'Europeenne': 1, 'Chinoise': 1, 'Asiatique': 1}",4.5,4.0,4.5,4.25,1.5,0.0,2.0
BenjiS26,2008,2,76,None,None,autriche,"{'Sushi': 2, 'Chinoise': 2, 'Asiatique': 2}",5.0,4.5,5.0,5.0,0.0,0.0,2.0
