username,registration_date,nb_of_comments,nb_of_cities,age,sex,country,top_cuisines,avg_overall_rating,avg_cuisine_rating,avg_service_rating,avg_quality_price_rating,avg_mood_rating,avg_michelin,avg_price_range_estimation
Laszlo M,2020,11,4,None,None,None,"{'Francaise': 4, 'Europeenne': 4, 'Pizza': 1, 'Napolitaine': 1, 'Mediterraneenne': 1, 'Japonaise': 1, 'Italienne': 1, 'Italie_du_Sud': 1, 'Campanie': 1, 'Brasserie_gastronomique': 1, 'Asiatique': 1}",4.26,4.26,4.17,3.93,3.22,0.17,2.17
Framito,2013,66,38,None,None,belgique,"{'Pizza': 4, 'Europeenne': 4, 'Napolitaine': 3, 'Italienne': 3, 'Italie_du_Sud': 3, 'Campanie': 3, 'Mediterraneenne': 2, 'Asiatique': 2, 'Toscane': 1, 'Suisse': 1, 'Sicilienne': 1, 'Romana': 1, 'Pub': 1, 'Moderne': 1, 'Latium': 1, 'Japonaise': 1, 'Italie_du_Centre': 1, 'Grillades': 1, 'Francaise': 1, 'Europe_centrale': 1, 'Espagnole': 1, 'Bar': 1}",4.23,4.23,4.23,3.83,3.5,0.17,2.33
bidouxon,2019,10,4,None,None,suisse,"{'Italienne': 3, 'Europeenne': 3, 'Mediterraneenne': 2, 'Japonaise': 2, 'Brasserie_gastronomique': 2, 'Asiatique': 2, 'Sushi': 1, 'Pizza': 1, 'Napolitaine': 1, 'Italie_du_Sud': 1, 'Campanie': 1}",3.85,3.26,2.98,2.91,2.7,0.0,2.0
304darkok,2016,12,12,None,None,france,"{'Thai': 2, 'Europeenne': 2, 'Asiatique': 2, 'Sushi': 1, 'Suisse': 1, 'Pizza': 1, 'Napolitaine': 1, 'Japonaise': 1, 'Italienne': 1, 'Italie_du_Sud': 1, 'Francaise': 1, 'Campanie': 1, 'Brasserie_gastronomique': 1}",4.31,4.21,4.19,3.92,2.12,0.0,2.0
rom_of224,2016,27,16,None,None,france,"{'Japonaise': 3, 'Europeenne': 3, 'Asiatique': 3, 'Sushi': 2, 'Francaise': 2, 'Pizza': 1, 'Pakistanaise': 1, 'Napolitaine': 1, 'Italienne': 1, 'Italie_du_Sud': 1, 'Indienne': 1, 'Campanie': 1, 'Bar': 1}",4.23,4.23,4.15,3.8,3.55,0.17,2.33
MisterTen,2013,4,3,None,None,suisse,"{'Pizza': 1, 'Napolitaine': 1, 'Japonaise': 1, 'Italienne': 1, 'Italie_du_Sud': 1, 'Europeenne': 1, 'Campanie': 1, 'Asiatique': 1}",4.25,4.25,4.0,4.0,3.75,0.0,2.0
El G,2016,21,17,None,None,None,"{'Europeenne': 5, 'Italienne': 3, 'Francaise': 3, 'Indienne': 2, 'Asiatique': 2, 'Thai': 1, 'Suisse': 1, 'Pizza': 1, 'Pakistanaise': 1, 'Napolitaine': 1, 'Mediterraneenne': 1, 'Japonaise': 1, 'Italie_du_Sud': 1, 'Espagnole': 1, 'Chinoise': 1, 'Campanie': 1, 'Cafe': 1}",4.04,3.91,3.79,3.53,1.59,0.0,1.76
flighhigh2015,2015,11,6,None,None,suisse,"{'Europeenne': 2, 'Suisse': 1, 'Pizza': 1, 'Napolitaine': 1, 'Japonaise': 1, 'Italienne': 1, 'Italie_du_Sud': 1, 'Campanie': 1, 'Asiatique': 1}",4.18,4.18,4.18,3.68,4.04,0.36,2.36
J C K,2012,7,1,None,None,suisse,"{'Europeenne': 3, 'Sushi': 2, 'Pizza': 2, 'Japonaise': 2, 'Italienne': 2, 'Asiatique': 2, 'Suisse': 1, 'Napolitaine': 1, 'Italie_du_Sud': 1, 'Francaise': 1, 'Campanie': 1}",4.33,4.39,4.19,3.83,3.86,0.61,2.33
GriGio91,2009,486,668,35-49,H,italie,"{'Italienne': 8, 'Europeenne': 6, 'Pizza': 5, 'Mediterraneenne': 5, 'Napolitaine': 4, 'Italie_du_Sud': 4, 'Campanie': 4, 'Pub': 3, 'Lombarde': 2, 'Japonaise': 2, 'Italie_du_Nord': 2, 'Bar': 2, 'Asiatique': 2, 'Emilienne': 1, 'Sushi': 1, 'Suisse': 1, 'Steakhouse': 1, 'Saine': 1, 'Irlandaise': 1, 'Grillades': 1, 'Fusion': 1, 'Francaise': 1, 'Europe_centrale': 1, 'Chinoise': 1, 'Bar_a_bieres': 1, 'Americaine': 1, 'Allemande': 1}",4.02,3.81,3.58,3.54,2.53,0.15,1.88
alejandro h,2012,23,11,None,None,suisse,"{'Europeenne': 2, 'Suisse': 1, 'Pizza': 1, 'Napolitaine': 1, 'Italienne': 1, 'Italie_du_Sud': 1, 'Francaise': 1, 'Campanie': 1}",4.25,4.25,4.0,3.75,3.75,0.0,2.0
ChristianJordan,2012,124,90,35-49,H,suisse,"{'Europeenne': 5, 'Italienne': 3, 'Turque': 2, 'Restauration_rapide': 2, 'Pizza': 2, 'Asiatique': 2, 'Thai': 1, 'Sushi': 1, 'Singapourienne': 1, 'Mexicaine': 1, 'Japonaise': 1, 'Francaise': 1, 'Europe_centrale': 1, 'Espagnole': 1, 'Cafe': 1, 'Bar': 1, 'Americaine': 1}",3.67,3.01,3.14,2.86,2.05,0.0,1.79
ValerieK439,2008,1,27,None,None,None,"{'Sushi': 1, 'Japonaise': 1, 'Grillades': 1}",5.0,0.0,0.0,0.0,0.0,0.0,2.0
elk1306,2020,2,1,None,None,None,"{'Japonaise': 2, 'Sushi': 1, 'Grillades': 1, 'Asiatique': 1}",4.75,2.25,2.0,2.25,2.0,0.0,2.0
jgi2018,2018,1,1,None,None,None,"{'Sushi': 1, 'Japonaise': 1, 'Grillades': 1}",5.0,0.0,0.0,0.0,0.0,0.0,2.0
FEYFEUXS,2012,5,5,None,None,None,"{'Sushi': 1, 'Japonaise': 1, 'Grillades': 1}",5.0,0.0,0.0,0.0,0.0,0.0,2.0
karolina0528,2016,15,9,None,None,suisse,"{'Sushi': 3, 'Japonaise': 3, 'Asiatique': 3, 'Grillades': 1, 'Fusion_japonaise': 1, 'Chinoise': 1}",4.46,2.15,1.96,2.15,1.96,0.0,1.92
FoodieGVA,2019,18,10,None,None,suisse,"{'Sushi': 1, 'Japonaise': 1, 'Grillades': 1}",5.0,0.0,0.0,0.0,0.0,0.0,2.0
